user_id,cluster
770,7
771,2
772,0
773,3
774,7
775,1
776,1
777,0
778,2
779,6
780,1
781,7
782,0
783,2
784,7
785,2
786,1
787,5
788,7
789,1
790,1
791,6
792,3
793,1
794,2
795,3
796,2
797,7
798,4
799,4
800,6
801,3
802,6
803,1
804,1
805,3
806,3
807,3
808,2
809,7
810,3
811,6
812,1
813,6
814,7
815,3
816,7
817,7
818,7
819,7
820,6
821,1
822,1
823,2
824,7
825,1
826,3
827,3
828,7
829,7
830,7
831,2
832,7
833,3
834,7
835,1
836,6
837,0
838,3
839,1
840,6
841,4
842,2
843,3
844,7
845,7
846,3
847,7
848,1
849,1
850,2
851,7
852,1
853,7
854,2
855,7
856,5
857,5
858,7
859,1
860,1
861,4
862,5
863,7
864,0
865,0
866,2
867,6
868,6
869,2
870,3
871,7
872,2
873,7
874,7
875,3
876,7
877,7
878,3
879,1
880,6
881,0
882,6
883,0
884,2
885,3
886,7
887,1
888,5
889,2
890,5
891,5
892,3
893,6
894,5
895,0
896,6
897,1
898,1
899,6
900,4
901,1
902,3
903,6
904,2
905,2
906,5
907,7
908,6
909,3
910,3
911,3
912,1
913,1
914,5
915,1
916,1
917,1
918,5
919,6
920,3
921,4
922,7
923,2
924,3
925,1
926,2
927,3
928,1
929,1
930,3
931,0
932,1
933,5
934,4
935,7
936,1
937,2
938,1
939,7
940,3
941,6
942,7
943,7
944,1
945,3
946,4
947,7
948,3
949,1
950,5
951,5
952,0
953,1
954,7
955,7
956,1
957,5
958,1
959,3
960,1
961,3
962,2
963,2
964,7
965,4
966,2
967,1
968,7
969,5
970,7
971,6
972,2
973,7
974,0
975,0
976,2
977,5
978,7
979,5
980,1
981,2
982,2
983,5
984,4
985,1
986,1
987,1
988,0
989,1
990,4
991,5
992,2
993,6
994,7
995,2
996,5
997,0
998,7
999,2
1000,3
1001,3
1002,5
1003,6
1004,2
1005,2
1006,5
1007,1
1008,1
1009,2
1010,1
1011,3
1012,2
1013,4
1014,0
1015,1
1016,7
1017,3
1018,1
1019,1
1020,1
1021,2
1022,4
1023,5
1024,1
1025,3
1026,6
1027,6
1028,6
1029,1
1030,3
1031,1
1032,6
1033,5
1034,7
1035,2
1036,2
1037,1
1038,7
1039,1
1040,3
1041,5
1042,2
1043,7
1044,7
1045,5
1046,2
1047,3
1048,1
1049,3
1050,3
1051,5
1052,7
1053,7
1054,0
1055,3
1056,5
1057,0
1058,2
1059,3
1060,7
1061,5
1062,6
1063,3
1064,1
1065,5
1066,1
1067,7
1068,2
1069,3
1070,1
1071,7
1072,7
1073,1
1074,7
1075,2
1076,1
1077,6
1078,7
1079,6
1080,7
1081,1
1082,7
1083,0
1084,1
1085,2
1086,0
1087,5
1088,5
1089,2
1090,1
1091,6
1092,1
1093,7
1094,7
1095,2
1096,1
1097,1
1098,3
1099,7
1100,3
1101,1
1102,1
1103,3
1104,7
1105,7
1106,6
1107,1
1108,3
1109,7
1110,3
1111,1
1112,6
1113,2
1114,3
1115,6
1116,1
1117,1
1118,3
1119,1
1120,3
1121,1
1122,6
1123,7
1124,1
1125,2
1126,7
1127,7
1128,5
1129,4
1130,7
1131,6
1132,0
1133,1
1134,3
1135,5
1136,4
1137,3
1138,0
1139,3
1140,7
1141,7
1142,7
1143,1
1144,6
1145,3
1146,6
1147,2
1148,1
1149,1
1150,3
1151,3
1152,7
1153,1
1154,0
1155,6
1156,5
1157,7
1158,7
1159,7
1160,7
1161,5
1162,7
1163,7
1164,1
1165,2
1166,2
1167,7
1168,7
1169,3
1170,0
1171,2
1172,0
1173,1
1174,4
1175,1
1176,7
1177,1
1178,3
1179,2
1180,2
1181,1
1182,2
1183,3
1184,4
1185,4
1186,4
1187,5
1188,2
1189,1
1190,3
1191,5
1192,7
1193,6
1194,2
1195,3
1196,3
1197,7
1198,7
1199,0
1200,1
1201,4
1202,4
1203,3
1204,0
1205,3
1206,1
1207,2
1208,6
1209,2
1210,1
1211,7
1212,4
1213,6
1214,5
1215,1
1216,1
1217,1
1218,2
1219,7
1220,1
1221,7
1222,6
1223,4
1224,1
1225,7
1226,7
1227,5
1228,7
1229,3
1230,7
1231,5
1232,1
1233,1
1234,1
1235,1
1236,1
1237,2
1238,3
1239,1
1240,1
1241,2
1242,0
1243,6
1244,6
1245,3
1246,0
1247,7
1248,3
1249,2
1250,7
1251,3
1252,1
1253,1
1254,7
1255,1
1256,1
1257,3
1258,7
1259,1
1260,6
1261,3
1262,5
1263,7
1264,3
1265,3
1266,5
1267,7
1268,1
1269,7
1270,7
1271,2
1272,3
1273,1
1274,1
1275,6
1276,3
1277,1
1278,1
1279,7
1280,1
1281,3
1282,1
1283,7
1284,7
1285,7
1286,7
1287,1
1288,1
1289,2
1290,2
1291,2
1292,7
1293,7
1294,2
1295,6
1296,7
1297,1
1298,3
1299,6
1300,6
1301,1
1302,7
1303,1
1304,6
1305,3
1306,6
1307,1
1308,1
1309,1
1310,1
1311,4
1312,5
1313,7
1314,7
1315,1
1316,5
1317,6
1318,4
1319,1
1320,2
1321,7
1322,2
1323,1
1324,6
1325,2
1326,4
1327,6
1328,3
1329,3
1330,6
1331,2
1332,3
1333,2
1334,6
1335,2
1336,1
1337,3
1338,1
1339,0
1340,7
1341,1
1342,7
1343,7
1344,3
1345,3
1346,6
1347,7
1348,5
1349,7
1350,7
1351,6
1352,1
1353,1
1354,6
1355,7
1356,1
1357,7
1358,6
1359,2
1360,1
1361,7
1362,0
1363,4
1364,3
1365,1
